Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, stddevDist, avgAng, stddevAng, avgDistMax, stddevDistMax, avgAngMax, stddevAngMax
1.000000e-01,1,1.000000e-01,1000,stratified,1.075685e+01,2.180777e+00,4.078384e-02,2.677150e-01,1.075831e+01,2.180171e+00,4.065531e-02,2.830837e-01
1.000000e-01,1,1.000000e-01,1000,residual,8.576946e+00,2.331803e+00,-2.156079e-01,2.758246e-01,8.587869e+00,2.329393e+00,-2.154206e-01,2.811700e-01
1.000000e-01,1,1.000000e-01,3000,multinomial,9.670717e+00,3.662081e+00,1.007010e+00,1.155547e+00,9.651536e+00,3.674144e+00,9.988095e-01,1.158199e+00
1.000000e-01,1,1.000000e-01,3000,systematic,8.267334e+00,2.996637e+00,-2.241978e-01,4.004080e-01,8.256976e+00,3.039000e+00,-2.372168e-01,4.099588e-01
1.000000e-01,1,1.000000e-01,3000,stratified,3.029846e+00,1.142385e+00,-1.050651e+00,1.364947e+00,3.019312e+00,1.155367e+00,-1.142267e+00,1.271706e+00
1.000000e-01,1,1.000000e-01,3000,residual,6.618572e+00,2.138734e+00,5.743791e-01,2.713528e+00,6.619849e+00,2.151837e+00,5.809364e-01,2.710887e+00
1.000000e-01,1,1.000000e-01,5000,multinomial,3.932004e+00,1.758495e+00,-1.170979e+00,5.155163e-01,3.947312e+00,1.782308e+00,-1.169611e+00,5.252401e-01
1.000000e-01,1,1.000000e-01,5000,systematic,6.583013e+00,2.675780e+00,-6.475124e-01,4.574489e-01,6.608859e+00,2.670701e+00,-6.455684e-01,4.612417e-01
1.000000e-01,1,1.000000e-01,5000,stratified,1.302621e+01,2.975411e+00,2.873163e-02,1.938913e-01,1.303225e+01,2.964373e+00,3.486498e-02,2.389499e-01
1.000000e-01,1,1.000000e-01,5000,residual,5.789021e+00,2.615958e+00,6.438124e-01,1.730008e+00,5.800462e+00,2.623012e+00,5.891382e-01,1.734735e+00
1.000000e-01,1,1.000000e-01,7500,multinomial,5.101029e+00,3.011859e+00,8.652047e-02,1.973293e+00,5.097926e+00,3.031425e+00,3.526606e-02,1.992384e+00
1.000000e-01,1,1.000000e-01,7500,systematic,4.585276e+00,1.948436e+00,-9.090345e-01,1.552003e+00,4.588462e+00,1.956581e+00,-8.977110e-01,1.580724e+00
1.000000e-01,1,1.000000e-01,7500,stratified,5.265806e+00,2.303423e+00,2.774008e-01,2.044875e+00,5.257929e+00,2.318622e+00,2.129823e-01,2.061400e+00
1.000000e-01,1,1.000000e-01,7500,residual,3.569673e+00,2.481713e+00,-1.538420e+00,3.087349e-01,3.577956e+00,2.488674e+00,-1.543057e+00,3.077327e-01
1.000000e-01,1,1.000000e-01,10000,multinomial,5.799139e+00,2.512917e+00,9.618251e-01,2.179348e+00,5.799025e+00,2.534751e+00,9.165771e-01,2.184736e+00
1.000000e-01,1,1.000000e-01,10000,systematic,3.490167e+00,1.965711e+00,-8.919235e-01,1.361115e+00,3.503368e+00,1.981563e+00,-9.155682e-01,1.359114e+00
1.000000e-01,1,1.000000e-01,10000,stratified,7.021349e+00,2.916189e+00,1.195355e+00,1.312809e+00,7.062716e+00,2.931266e+00,1.178650e+00,1.328675e+00
1.000000e-01,1,1.000000e-01,10000,residual,4.116305e+00,1.446228e+00,-1.390548e+00,1.703206e+00,4.128206e+00,1.445881e+00,-1.370214e+00,1.736427e+00
1.000000e-01,1,5.000000e-01,250,multinomial,7.479362e+00,3.542582e+00,1.019864e+00,1.441882e+00,7.515294e+00,3.599833e+00,9.808339e-01,1.490730e+00
1.000000e-01,1,5.000000e-01,250,systematic,7.822050e+00,3.819588e+00,5.247955e-01,1.443802e+00,7.854248e+00,3.881622e+00,5.067238e-01,1.443518e+00
1.000000e-01,1,5.000000e-01,250,stratified,8.147996e+00,3.370161e+00,1.250042e+00,1.145951e+00,8.196475e+00,3.511110e+00,1.207769e+00,1.254404e+00
1.000000e-01,1,5.000000e-01,250,residual,6.651237e+00,2.716582e+00,6.980214e-01,1.607128e+00,6.698499e+00,2.816240e+00,6.769616e-01,1.644066e+00
1.000000e-01,1,5.000000e-01,500,multinomial,6.608219e+00,2.861403e+00,6.693072e-01,1.689005e+00,6.706239e+00,2.948916e+00,5.614012e-01,1.738040e+00
1.000000e-01,1,5.000000e-01,500,systematic,8.213829e+00,3.883819e+00,7.822082e-01,1.260847e+00,8.307342e+00,3.956523e+00,7.098790e-01,1.313950e+00
1.000000e-01,1,5.000000e-01,500,stratified,6.971073e+00,2.966614e+00,5.278653e-01,1.469514e+00,7.045107e+00,3.061649e+00,4.959022e-01,1.476602e+00
1.000000e-01,1,5.000000e-01,500,residual,8.217651e+00,3.349174e+00,7.959888e-01,1.254120e+00,8.186532e+00,3.463773e+00,6.894335e-01,1.374174e+00
1.000000e-01,1,5.000000e-01,1000,multinomial,7.174319e+00,2.942552e+00,9.210194e-01,1.519047e+00,7.197453e+00,3.068635e+00,8.576222e-01,1.513655e+00
1.000000e-01,1,5.000000e-01,1000,systematic,7.973344e+00,3.558454e+00,1.062916e+00,1.340004e+00,7.947422e+00,3.693930e+00,8.983367e-01,1.493907e+00
1.000000e-01,1,5.000000e-01,1000,stratified,6.526300e+00,3.111294e+00,5.803356e-01,1.558237e+00,6.654254e+00,3.178057e+00,4.972020e-01,1.634631e+00
1.000000e-01,1,5.000000e-01,1000,residual,6.482481e+00,2.573143e+00,6.827505e-01,1.632886e+00,6.548208e+00,2.794821e+00,5.476763e-01,1.683952e+00
1.000000e-01,1,5.000000e-01,3000,multinomial,7.576857e+00,3.231194e+00,9.427519e-01,1.343345e+00,7.738540e+00,3.470066e+00,8.696424e-01,1.471484e+00
1.000000e-01,1,5.000000e-01,3000,systematic,6.886123e+00,2.918690e+00,8.566318e-01,1.424219e+00,7.043476e+00,3.184992e+00,7.111925e-01,1.490117e+00
1.000000e-01,1,5.000000e-01,3000,stratified,6.725242e+00,2.693822e+00,8.337581e-01,1.478686e+00,6.904620e+00,2.820230e+00,7.480879e-01,1.511074e+00
1.000000e-01,1,5.000000e-01,3000,residual,7.038477e+00,2.916380e+00,7.850453e-01,1.448392e+00,7.172884e+00,3.131369e+00,6.830762e-01,1.513555e+00
1.000000e-01,1,5.000000e-01,5000,multinomial,6.929605e+00,2.793589e+00,7.969119e-01,1.456232e+00,7.266560e+00,3.041667e+00,7.324025e-01,1.488442e+00
1.000000e-01,1,5.000000e-01,5000,systematic,7.231965e+00,2.744308e+00,8.090469e-01,1.368509e+00,7.268467e+00,2.842142e+00,7.680179e-01,1.419175e+00
1.000000e-01,1,5.000000e-01,5000,stratified,7.234581e+00,3.037961e+00,7.093169e-01,1.334029e+00,7.267722e+00,3.259473e+00,6.500737e-01,1.473630e+00
1.000000e-01,1,5.000000e-01,5000,residual,7.335709e+00,2.917742e+00,6.992008e-01,1.406631e+00,7.458979e+00,3.081847e+00,7.028402e-01,1.444144e+00
1.000000e-01,1,5.000000e-01,7500,multinomial,6.954142e+00,2.791057e+00,8.555281e-01,1.434193e+00,7.224065e+00,3.158228e+00,7.416115e-01,1.499529e+00
1.000000e-01,1,5.000000e-01,7500,systematic,7.203233e+00,2.808877e+00,7.752919e-01,1.390250e+00,7.214430e+00,3.008745e+00,6.439593e-01,1.508448e+00
1.000000e-01,1,5.000000e-01,7500,stratified,7.090534e+00,2.954555e+00,8.129133e-01,1.464315e+00,7.111875e+00,3.117983e+00,7.359035e-01,1.487110e+00
1.000000e-01,1,5.000000e-01,7500,residual,6.936367e+00,2.876813e+00,8.257986e-01,1.467044e+00,7.007372e+00,2.989705e+00,7.938009e-01,1.529753e+00
1.000000e-01,1,5.000000e-01,10000,multinomial,6.923875e+00,2.709462e+00,8.075656e-01,1.420543e+00,7.080491e+00,2.941619e+00,7.609189e-01,1.537410e+00
1.000000e-01,1,5.000000e-01,10000,systematic,6.929872e+00,2.799531e+00,8.576717e-01,1.398247e+00,7.063857e+00,2.921024e+00,7.069264e-01,1.524002e+00
1.000000e-01,1,5.000000e-01,10000,stratified,7.435826e+00,2.822557e+00,7.744742e-01,1.287119e+00,7.521724e+00,3.109207e+00,7.463259e-01,1.382781e+00
1.000000e-01,1,5.000000e-01,10000,residual,7.153225e+00,2.740379e+00,7.649648e-01,1.408560e+00,7.298724e+00,2.849879e+00,7.359044e-01,1.425852e+00
1.000000e-01,1,7.000000e-01,250,multinomial,2.321728e+01,1.503473e+01,8.760292e-01,8.376684e-01,2.328740e+01,1.495719e+01,8.462322e-01,8.881388e-01
1.000000e-01,1,7.000000e-01,250,systematic,7.824957e+00,4.239509e+00,4.862289e-01,1.394055e+00,7.931612e+00,4.306201e+00,4.541322e-01,1.420413e+00
1.000000e-01,1,7.000000e-01,250,stratified,1.240429e+01,1.056991e+01,1.006980e+00,1.465849e+00,1.252568e+01,1.053522e+01,9.384115e-01,1.541130e+00
