,,-1.220000,-1.220000,-1.220000,1.220000,1.220000,1.220000
,,-1.520000,0.000000,1.520000,1.520000,0.000000,-1.520000
23.741695,0.395695,-68.000000,-69.000000,-73.000000,-84.000000,-70.000000,-69.000000,
23.990741,0.399846,-68.000000,-69.000000,-73.000000,-80.000000,-70.000000,-69.000000,
24.222711,0.403712,-69.000000,-69.000000,-73.000000,-76.000000,-70.000000,-69.000000,
24.447448,0.407457,-70.000000,-69.000000,-73.000000,-76.000000,-70.000000,-68.000000,
24.638461,0.410641,-70.000000,-69.000000,-73.000000,-77.000000,-70.000000,-68.000000,
24.863657,0.414394,-70.000000,-69.000000,-73.000000,-78.000000,-71.000000,-68.000000,
25.086688,0.418111,-70.000000,-69.000000,-73.000000,-79.000000,-72.000000,-68.000000,
25.313663,0.421894,-70.000000,-69.000000,-73.000000,-78.000000,-72.000000,-68.000000,
25.549100,0.425818,-70.000000,-68.000000,-72.000000,-78.000000,-72.000000,-68.000000,
25.774837,0.429581,-69.000000,-68.000000,-72.000000,-81.000000,-72.000000,-68.000000,
25.999170,0.433319,-69.000000,-68.000000,-72.000000,-82.000000,-72.000000,-69.000000,
26.192537,0.436542,-68.000000,-69.000000,-72.000000,-81.000000,-72.000000,-68.000000,
26.397356,0.439956,-69.000000,-69.000000,-72.000000,-81.000000,-72.000000,-68.000000,
26.621116,0.443685,-69.000000,-69.000000,-72.000000,-81.000000,-72.000000,-68.000000,
26.851325,0.447522,-70.000000,-69.000000,-73.000000,-79.000000,-71.000000,-68.000000,
27.038652,0.450644,-70.000000,-69.000000,-72.000000,-77.000000,-72.000000,-68.000000,
27.263280,0.454388,-70.000000,-69.000000,-73.000000,-76.000000,-72.000000,-68.000000,
27.487850,0.458131,-70.000000,-69.000000,-73.000000,-74.000000,-72.000000,-68.000000,
27.702508,0.461708,-70.000000,-68.000000,-73.000000,-75.000000,-72.000000,-68.000000,
27.934722,0.465579,-70.000000,-69.000000,-73.000000,-79.000000,-71.000000,-68.000000,
28.158716,0.469312,-70.000000,-69.000000,-73.000000,-80.000000,-72.000000,-68.000000,
28.334368,0.472239,-69.000000,-69.000000,-72.000000,-75.000000,-72.000000,-68.000000,
28.525669,0.475428,-69.000000,-68.000000,-73.000000,-74.000000,-70.000000,-70.000000,
28.726577,0.478776,-69.000000,-68.000000,-73.000000,-75.000000,-69.000000,-69.000000,
28.926574,0.482110,-69.000000,-68.000000,-73.000000,-78.000000,-72.000000,-68.000000,
29.152995,0.485883,-68.000000,-69.000000,-73.000000,-77.000000,-71.000000,-68.000000,
29.374686,0.489578,-69.000000,-68.000000,-73.000000,-77.000000,-71.000000,-68.000000,
29.582742,0.493046,-68.000000,-67.000000,-73.000000,-81.000000,-71.000000,-68.000000,
29.844043,0.497401,-68.000000,-67.000000,-73.000000,-83.000000,-71.000000,-68.000000,
30.047954,0.500799,-70.000000,-69.000000,-73.000000,-81.000000,-71.000000,-70.000000,
30.238873,0.503981,-70.000000,-69.000000,-73.000000,-80.000000,-70.000000,-70.000000,
30.433581,0.507226,-69.000000,-69.000000,-72.000000,-79.000000,-70.000000,-70.000000,
30.656341,0.510939,-68.000000,-68.000000,-72.000000,-79.000000,-70.000000,-70.000000,
30.861788,0.514363,-68.000000,-69.000000,-72.000000,-78.000000,-70.000000,-70.000000,
31.069891,0.517832,-68.000000,-68.000000,-72.000000,-76.000000,-70.000000,-70.000000,
31.248823,0.520814,-69.000000,-67.000000,-72.000000,-78.000000,-71.000000,-70.000000,
31.454048,0.524234,-69.000000,-68.000000,-72.000000,-78.000000,-71.000000,-69.000000,
31.656922,0.527615,-69.000000,-69.000000,-72.000000,-78.000000,-70.000000,-69.000000,
31.858602,0.530977,-69.000000,-68.000000,-72.000000,-78.000000,-71.000000,-70.000000,
32.063337,0.534389,-70.000000,-67.000000,-73.000000,-77.000000,-72.000000,-69.000000,
32.271791,0.537863,-69.000000,-68.000000,-72.000000,-79.000000,-72.000000,-69.000000,
32.497063,0.541618,-70.000000,-68.000000,-73.000000,-79.000000,-72.000000,-70.000000,
32.751867,0.545864,-68.000000,-68.000000,-73.000000,-77.000000,-72.000000,-69.000000,
32.950220,0.549170,-68.000000,-68.000000,-73.000000,-78.000000,-72.000000,-70.000000,
33.167941,0.552799,-69.000000,-68.000000,-73.000000,-78.000000,-73.000000,-69.000000,
33.391521,0.556525,-68.000000,-67.000000,-73.000000,-79.000000,-72.000000,-69.000000,
33.593536,0.559892,-68.000000,-68.000000,-75.000000,-77.000000,-72.000000,-70.000000,
33.796461,0.563274,-70.000000,-67.000000,-76.000000,-79.000000,-74.000000,-68.000000,
33.999555,0.566659,-68.000000,-67.000000,-76.000000,-82.000000,-78.000000,-68.000000,
34.198557,0.569976,-66.000000,-68.000000,-76.000000,-81.000000,-86.000000,-68.000000,
34.391439,0.573191,-66.000000,-67.000000,-79.000000,-78.000000,-92.000000,-69.000000,
34.590743,0.576512,-64.000000,-67.000000,-75.000000,-78.000000,-86.000000,-68.000000,
34.817375,0.580290,-64.000000,-67.000000,-76.000000,-77.000000,-76.000000,-68.000000,
35.016979,0.583616,-68.000000,-67.000000,-76.000000,-74.000000,-73.000000,-66.000000,
35.200245,0.586671,-66.000000,-69.000000,-79.000000,-73.000000,-74.000000,-66.000000,
35.424411,0.590407,-68.000000,-68.000000,-76.000000,-74.000000,-71.000000,-67.000000,
35.648000,0.594133,-65.000000,-74.000000,-71.000000,-73.000000,-71.000000,-68.000000,
35.870826,0.597847,-68.000000,-71.000000,-72.000000,-74.000000,-71.000000,-78.000000,
36.068886,0.601148,-68.000000,-68.000000,-72.000000,-83.000000,-73.000000,-72.000000,
36.275380,0.604590,-65.000000,-69.000000,-73.000000,-81.000000,-71.000000,-81.000000,
36.479399,0.607990,-69.000000,-67.000000,-73.000000,-81.000000,-71.000000,-81.000000,
36.721638,0.612027,-66.000000,-69.000000,-73.000000,-86.000000,-74.000000,-83.000000,
36.979566,0.616326,-68.000000,-67.000000,-73.000000,-80.000000,-75.000000,-75.000000,
37.135379,0.618923,-68.000000,-67.000000,-76.000000,-91.000000,-75.000000,-75.000000,
37.360209,0.622670,-83.000000,-68.000000,-82.000000,-77.000000,-74.000000,-93.000000,
37.581946,0.626366,-76.000000,-69.000000,-73.000000,-70.000000,-74.000000,-82.000000,
37.761843,0.629364,-71.000000,-65.000000,-73.000000,-70.000000,-73.000000,-72.000000,
37.957971,0.632633,-64.000000,-65.000000,-73.000000,-70.000000,-73.000000,-76.000000,
38.160035,0.636001,-64.000000,-65.000000,-76.000000,-69.000000,-72.000000,-74.000000,
38.358673,0.639311,-64.000000,-65.000000,-77.000000,-69.000000,-72.000000,-74.000000,
38.565607,0.642760,-65.000000,-67.000000,-89.000000,-68.000000,-70.000000,-76.000000,
38.754442,0.645907,-66.000000,-66.000000,-81.000000,-72.000000,-74.000000,-74.000000,
38.978770,0.649646,-66.000000,-68.000000,-81.000000,-70.000000,-70.000000,-73.000000,
39.138088,0.652301,-67.000000,-71.000000,-88.000000,-68.000000,-71.000000,-74.000000,
39.316705,0.655278,-65.000000,-67.000000,-72.000000,-69.000000,-70.000000,-71.000000,
39.488704,0.658145,-66.000000,-67.000000,-77.000000,-69.000000,-70.000000,-74.000000,
39.731037,0.662184,-66.000000,-65.000000,-78.000000,-69.000000,-73.000000,-78.000000,
39.889374,0.664823,-69.000000,-66.000000,-75.000000,-68.000000,-74.000000,-76.000000,
40.113300,0.668555,-66.000000,-67.000000,-71.000000,-67.000000,-71.000000,-79.000000,
40.341338,0.672356,-68.000000,-67.000000,-79.000000,-70.000000,-71.000000,-72.000000,
40.495684,0.674928,-68.000000,-69.000000,-72.000000,-73.000000,-71.000000,-72.000000,
40.726433,0.678774,-70.000000,-70.000000,-75.000000,-74.000000,-71.000000,-76.000000,
40.919475,0.681991,-68.000000,-67.000000,-75.000000,-74.000000,-73.000000,-79.000000,
41.089411,0.684824,-69.000000,-67.000000,-80.000000,-75.000000,-83.000000,-74.000000,
41.343793,0.689063,-67.000000,-69.000000,-79.000000,-76.000000,-72.000000,-77.000000,
41.536385,0.692273,-68.000000,-69.000000,-80.000000,-70.000000,-86.000000,-71.000000,
41.729860,0.695498,-67.000000,-69.000000,-73.000000,-76.000000,-76.000000,-72.000000,
41.905818,0.698430,-72.000000,-67.000000,-74.000000,-72.000000,-80.000000,-73.000000,
42.079348,0.701322,-71.000000,-69.000000,-72.000000,-72.000000,-79.000000,-77.000000,
42.290499,0.704842,-72.000000,-67.000000,-71.000000,-79.000000,-80.000000,-83.000000,
42.454152,0.707569,-72.000000,-68.000000,-72.000000,-81.000000,-82.000000,-78.000000,
42.660964,0.711016,-76.000000,-67.000000,-71.000000,-75.000000,-78.000000,-72.000000,
42.816500,0.713608,-74.000000,-69.000000,-71.000000,-77.000000,-80.000000,-75.000000,
43.010974,0.716850,-73.000000,-69.000000,-71.000000,-77.000000,-77.000000,-76.000000,
43.207973,0.720133,-71.000000,-69.000000,-72.000000,-82.000000,-82.000000,-75.000000,
43.425780,0.723763,-70.000000,-69.000000,-72.000000,-80.000000,-79.000000,-71.000000,
43.602552,0.726709,-69.000000,-70.000000,-74.000000,-75.000000,-83.000000,-76.000000,
43.797952,0.729966,-68.000000,-68.000000,-77.000000,-79.000000,-82.000000,-73.000000,
44.000394,0.733340,-70.000000,-69.000000,-78.000000,-75.000000,-74.000000,-71.000000,
44.209392,0.736823,-68.000000,-69.000000,-75.000000,-74.000000,-73.000000,-70.000000,
44.375998,0.739600,-70.000000,-69.000000,-76.000000,-74.000000,-74.000000,-71.000000,
44.550416,0.742507,-70.000000,-70.000000,-76.000000,-72.000000,-87.000000,-71.000000,
44.784719,0.746412,-69.000000,-69.000000,-76.000000,-72.000000,-79.000000,-70.000000,
44.977057,0.749618,-69.000000,-68.000000,-75.000000,-74.000000,-78.000000,-70.000000,
45.152779,0.752546,-69.000000,-68.000000,-73.000000,-75.000000,-75.000000,-70.000000,
45.360855,0.756014,-68.000000,-69.000000,-76.000000,-74.000000,-76.000000,-69.000000,
45.559640,0.759327,-69.000000,-69.000000,-76.000000,-74.000000,-74.000000,-69.000000,
45.781631,0.763027,-69.000000,-69.000000,-77.000000,-74.000000,-74.000000,-70.000000,
45.938509,0.765642,-69.000000,-68.000000,-76.000000,-76.000000,-72.000000,-70.000000,
46.148078,0.769135,-70.000000,-68.000000,-79.000000,-79.000000,-74.000000,-71.000000,
46.373195,0.772887,-70.000000,-69.000000,-77.000000,-74.000000,-74.000000,-71.000000,
46.528731,0.775479,-70.000000,-69.000000,-77.000000,-75.000000,-74.000000,-70.000000,
46.688905,0.778148,-70.000000,-69.000000,-81.000000,-75.000000,-75.000000,-70.000000,
46.882929,0.781382,-70.000000,-68.000000,-77.000000,-74.000000,-74.000000,-70.000000,
47.074345,0.784572,-71.000000,-69.000000,-78.000000,-74.000000,-76.000000,-68.000000,
47.233081,0.787218,-70.000000,-69.000000,-80.000000,-75.000000,-79.000000,-69.000000,
47.409217,0.790154,-71.000000,-69.000000,-80.000000,-75.000000,-77.000000,-68.000000,
