,,-1.220000,-1.220000,-1.220000,1.220000,1.220000,1.220000
,,-1.520000,0.000000,1.520000,1.520000,0.000000,-1.520000
11.824049,0.197067,-74.000000,-68.000000,-71.000000,-74.000000,-82.000000,-83.000000,
12.033164,0.200553,-74.000000,-68.000000,-71.000000,-74.000000,-82.000000,-82.000000,
12.206585,0.203443,-74.000000,-68.000000,-71.000000,-74.000000,-82.000000,-81.000000,
12.383377,0.206390,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-81.000000,
12.574498,0.209575,-74.000000,-67.000000,-70.000000,-74.000000,-83.000000,-81.000000,
12.752272,0.212538,-74.000000,-68.000000,-70.000000,-75.000000,-83.000000,-83.000000,
12.944447,0.215741,-74.000000,-68.000000,-70.000000,-74.000000,-83.000000,-82.000000,
13.155275,0.219255,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-82.000000,
13.396441,0.223274,-74.000000,-68.000000,-70.000000,-75.000000,-82.000000,-82.000000,
13.656780,0.227613,-74.000000,-68.000000,-71.000000,-74.000000,-82.000000,-82.000000,
13.907783,0.231796,-74.000000,-68.000000,-70.000000,-74.000000,-80.000000,-83.000000,
14.096971,0.234950,-74.000000,-68.000000,-70.000000,-74.000000,-80.000000,-83.000000,
14.288000,0.238133,-74.000000,-68.000000,-70.000000,-74.000000,-80.000000,-83.000000,
14.533448,0.242224,-74.000000,-68.000000,-70.000000,-74.000000,-80.000000,-83.000000,
14.772899,0.246215,-74.000000,-68.000000,-70.000000,-75.000000,-80.000000,-83.000000,
14.978960,0.249649,-74.000000,-68.000000,-70.000000,-75.000000,-80.000000,-83.000000,
15.235141,0.253919,-75.000000,-68.000000,-70.000000,-74.000000,-80.000000,-83.000000,
15.428557,0.257143,-74.000000,-68.000000,-70.000000,-74.000000,-80.000000,-83.000000,
15.669263,0.261154,-74.000000,-68.000000,-70.000000,-74.000000,-81.000000,-83.000000,
15.890096,0.264835,-76.000000,-70.000000,-68.000000,-74.000000,-83.000000,-82.000000,
16.096788,0.268280,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-82.000000,
16.290300,0.271505,-75.000000,-68.000000,-70.000000,-74.000000,-82.000000,-83.000000,
16.496932,0.274949,-74.000000,-68.000000,-70.000000,-74.000000,-82.000000,-81.000000,
16.724447,0.278741,-74.000000,-67.000000,-71.000000,-75.000000,-81.000000,-80.000000,
16.912511,0.281875,-76.000000,-66.000000,-72.000000,-74.000000,-80.000000,-81.000000,
17.121154,0.285353,-76.000000,-65.000000,-72.000000,-74.000000,-80.000000,-81.000000,
17.314204,0.288570,-76.000000,-65.000000,-71.000000,-74.000000,-80.000000,-81.000000,
17.558847,0.292647,-75.000000,-65.000000,-71.000000,-75.000000,-80.000000,-81.000000,
17.764104,0.296068,-75.000000,-65.000000,-71.000000,-74.000000,-80.000000,-83.000000,
18.023647,0.300394,-75.000000,-65.000000,-72.000000,-74.000000,-81.000000,-84.000000,
18.278094,0.304635,-75.000000,-66.000000,-72.000000,-74.000000,-80.000000,-85.000000,
18.516611,0.308610,-75.000000,-66.000000,-72.000000,-75.000000,-80.000000,-86.000000,
18.740009,0.312333,-75.000000,-65.000000,-72.000000,-74.000000,-80.000000,-83.000000,
18.953632,0.315894,-74.000000,-65.000000,-72.000000,-76.000000,-80.000000,-83.000000,
19.144149,0.319069,-74.000000,-67.000000,-71.000000,-75.000000,-80.000000,-83.000000,
19.322174,0.322036,-75.000000,-67.000000,-71.000000,-75.000000,-79.000000,-84.000000,
19.525488,0.325425,-75.000000,-67.000000,-70.000000,-74.000000,-80.000000,-81.000000,
19.767413,0.329457,-74.000000,-66.000000,-72.000000,-73.000000,-80.000000,-81.000000,
20.007161,0.333453,-75.000000,-66.000000,-71.000000,-74.000000,-80.000000,-81.000000,
20.232687,0.337211,-75.000000,-66.000000,-71.000000,-74.000000,-80.000000,-81.000000,
20.440547,0.340676,-75.000000,-66.000000,-72.000000,-74.000000,-80.000000,-82.000000,
20.692371,0.344873,-76.000000,-66.000000,-72.000000,-74.000000,-80.000000,-80.000000,
20.888243,0.348137,-76.000000,-66.000000,-72.000000,-74.000000,-80.000000,-80.000000,
21.144024,0.352400,-76.000000,-66.000000,-72.000000,-74.000000,-79.000000,-81.000000,
